,Name,Photo,Flag,Club Logo
0, J. Rodríguez,https://cdn.sofifa.com/players/198/710/20_60.png,https://cdn.sofifa.com/flags/co.png,https://cdn.sofifa.com/teams/243/light_30.png
1, E. Mendy,https://cdn.sofifa.com/players/234/642/20_60.png,https://cdn.sofifa.com/flags/sn.png,https://cdn.sofifa.com/teams/74/light_30.png
2, A. Sørloth,https://cdn.sofifa.com/players/216/549/20_60.png,https://cdn.sofifa.com/flags/no.png,https://cdn.sofifa.com/teams/436/light_30.png
3, M. Locatelli,https://cdn.sofifa.com/players/222/077/20_60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/111974/light_30.png
4, E. Haaland,https://cdn.sofifa.com/players/239/085/20_60.png,https://cdn.sofifa.com/flags/no.png,https://cdn.sofifa.com/teams/22/light_30.png
5, Alex Telles,https://cdn.sofifa.com/players/212/462/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/236/light_30.png
6, N. Zaniolo,https://cdn.sofifa.com/players/238/067/20_60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/52/light_30.png
7, M. Lowe,https://cdn.sofifa.com/players/212/100/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/91/light_30.png
8, J. Bogle,https://cdn.sofifa.com/players/244/591/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/91/light_30.png
9, C. De Ketelaere,https://cdn.sofifa.com/players/251/470/20_60.png,https://cdn.sofifa.com/flags/be.png,https://cdn.sofifa.com/teams/231/light_30.png
10, Ansu Fati,https://cdn.sofifa.com/players/253/004/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/241/light_30.png
11, Fábio Silva,https://cdn.sofifa.com/players/252/037/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/236/light_30.png
12, M. Greenwood,https://cdn.sofifa.com/players/246/147/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/11/light_30.png
13, E. Ampadu,https://cdn.sofifa.com/players/235/735/20_60.png,https://cdn.sofifa.com/flags/gb-wls.png,https://cdn.sofifa.com/teams/112172/light_30.png
14, Reguilón,https://cdn.sofifa.com/players/245/279/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/481/light_30.png
15, A. Doucouré,https://cdn.sofifa.com/players/208/135/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1795/light_30.png
16, Quaresma,https://cdn.sofifa.com/players/020/775/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/111339/light_30.png
17, J. Tanganga,https://cdn.sofifa.com/players/236/600/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/18/light_30.png
18, P. Foden,https://cdn.sofifa.com/players/237/692/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/10/light_30.png
19, K. Havertz,https://cdn.sofifa.com/players/235/790/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/32/light_30.png
20, M. Depay,https://cdn.sofifa.com/players/202/556/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/66/light_30.png
21, Vítor Ferreira,https://cdn.sofifa.com/players/255/253/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/236/light_30.png
22, W. McKennie,https://cdn.sofifa.com/players/238/744/20_60.png,https://cdn.sofifa.com/flags/us.png,https://cdn.sofifa.com/teams/34/light_30.png
23, R. Fraser,https://cdn.sofifa.com/players/207/807/20_60.png,https://cdn.sofifa.com/flags/gb-sct.png,https://cdn.sofifa.com/teams/1943/light_30.png
24, A. Davies,https://cdn.sofifa.com/players/234/396/20_60.png,https://cdn.sofifa.com/flags/ca.png,https://cdn.sofifa.com/teams/21/light_30.png
25, S. Tonali,https://cdn.sofifa.com/players/241/096/20_60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/190/light_30.png
26, N. Barella,https://cdn.sofifa.com/players/224/232/20_60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/44/light_30.png
27, B. Saka,https://cdn.sofifa.com/players/246/669/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1/light_30.png
28, D. Szoboszlai,https://cdn.sofifa.com/players/236/772/20_60.png,https://cdn.sofifa.com/flags/hu.png,https://cdn.sofifa.com/teams/191/light_30.png
29, D. van de Beek,https://cdn.sofifa.com/players/221/363/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/245/light_30.png
30, Richarlison,https://cdn.sofifa.com/players/231/943/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/7/light_30.png
31, Allan,https://cdn.sofifa.com/players/199/914/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/48/light_30.png
32, E. Camavinga,https://cdn.sofifa.com/players/248/243/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/74/light_30.png
33, Wendel,https://cdn.sofifa.com/players/238/359/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/237/light_30.png
34, H. Aouar,https://cdn.sofifa.com/players/234/906/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/66/light_30.png
35, Francisco Trincão,https://cdn.sofifa.com/players/244/778/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/1896/light_30.png
36, D. Upamecano,https://cdn.sofifa.com/players/229/558/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/112172/light_30.png
37, D. Rice,https://cdn.sofifa.com/players/234/378/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/19/light_30.png
38, J. Sancho,https://cdn.sofifa.com/players/233/049/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/22/light_30.png
39, Adama Traoré,https://cdn.sofifa.com/players/213/956/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/110/light_30.png
40, M. Ihattaren,https://cdn.sofifa.com/players/246/960/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/247/light_30.png
41, C. Wilson,https://cdn.sofifa.com/players/196/978/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1943/light_30.png
42, Ferrán Torres,https://cdn.sofifa.com/players/241/461/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/461/light_30.png
43, F. de Jong,https://cdn.sofifa.com/players/228/702/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/241/light_30.png
44, L. Samardžić,https://cdn.sofifa.com/players/256/115/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/166/light_30.png
45, Pedri,https://cdn.sofifa.com/players/251/854/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/472/light_30.png
46, M. Ødegaard,https://cdn.sofifa.com/players/222/665/20_60.png,https://cdn.sofifa.com/flags/no.png,https://cdn.sofifa.com/teams/457/light_30.png
47, K. Mbappé,https://cdn.sofifa.com/players/231/747/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/73/light_30.png
48, T. Almada,https://cdn.sofifa.com/players/245/371/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/101088/light_30.png
49, L. Messi,https://cdn.sofifa.com/players/158/023/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/241/light_30.png
50, O. Etebo,https://cdn.sofifa.com/players/234/457/20_60.png,https://cdn.sofifa.com/flags/ng.png,https://cdn.sofifa.com/teams/1860/light_30.png
51, João Félix,https://cdn.sofifa.com/players/242/444/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/240/light_30.png
52, N. Keïta,https://cdn.sofifa.com/players/220/971/20_60.png,https://cdn.sofifa.com/flags/gn.png,https://cdn.sofifa.com/teams/9/light_30.png
53, J. David,https://cdn.sofifa.com/players/243/630/20_60.png,https://cdn.sofifa.com/flags/ca.png,https://cdn.sofifa.com/teams/674/light_30.png
54, J. Lewis,https://cdn.sofifa.com/players/231/292/20_60.png,https://cdn.sofifa.com/flags/gb-nir.png,https://cdn.sofifa.com/teams/1792/light_30.png
55, R. Gravenberch,https://cdn.sofifa.com/players/246/104/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/245/light_30.png
56, Reinier,https://cdn.sofifa.com/players/254/544/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/243/light_30.png
57, H. Ziyech,https://cdn.sofifa.com/players/208/670/20_60.png,https://cdn.sofifa.com/flags/ma.png,https://cdn.sofifa.com/teams/245/light_30.png
58, A. Hložek,https://cdn.sofifa.com/players/246/618/20_60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/267/light_30.png
59, Cristiano Ronaldo,https://cdn.sofifa.com/players/020/801/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/45/light_30.png
60, B. Kamara,https://cdn.sofifa.com/players/236/987/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/219/light_30.png
61, L. Martínez,https://cdn.sofifa.com/players/231/478/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/44/light_30.png
